id,label
9733,0.17732471
63,0.10200864
6400,0.97287315
823,0.9944272
4217,0.29107827
3578,0.29083824
10321,0.95176435
2666,0.29318923
5109,0.28457564
11981,0.065859735
10447,0.87024516
2100,0.026903093
11759,0.6477073
4571,0.2827013
7078,0.97781056
12250,0.05342862
1409,0.26213604
9055,0.9557205
6366,0.5478684
12244,0.61014503
189,0.068357736
9041,0.019291848
6372,0.036130488
11995,0.40098476
10453,0.7282884
2114,0.94431496
4565,0.021573424
4203,0.99288225
10335,0.99628186
2672,0.04185188
9727,0.97159755
6414,0.07052073
77,0.58394754
8439,0.9995376
837,0.97773206
2882,0.9774326
3544,0.92452776
11003,0.3037979
5135,0.4598971
1353,0.97926354
7722,0.53326946
8411,0.999829
7044,0.24351987
8377,0.0050367117
1435,0.8840555
9069,0.9997697
5653,0.8441813
3222,0.8544545
11765,0.8254965
5647,0.090102196
2128,0.5122566
3236,0.0050575137
11771,0.017839372
4559,0.79081416
7050,0.12480423
8363,0.036465853
12278,0.9866672
1421,0.65048856
6428,0.9994992
1347,0.0024113357
7736,0.990461
8405,0.04016459
2896,0.04553613
3550,0.889072
11017,0.022339314
10309,0.1628212
5121,0.5464986
9928,0.051020503
638,0.00091928244
7905,0.17531174
9096,0.16310343
8388,0.7429862
12293,0.832616
5874,0.76753944
11942,0.02957964
10484,0.9358996
5860,0.88570297
11956,0.47423005
10490,0.9688312
9082,0.8565355
12287,0.97109294
7911,0.17613131
2869,0.6175521
9914,0.64325845
7939,0.50310594
1390,0.10658014
604,0.43361944
2699,0.04986763
2841,0.35035196
3587,0.7758875
5848,0.54844564
5690,0.87366265
162,0.08546406
6399,0.98765576
7087,0.06821233
176,0.7967471
7093,0.42749605
5684,0.443851
2855,0.45177633
3593,0.9986063
9900,0.04380718
88,0.99944776
610,0.8716345
1384,0.8590634
6164,0.06766024
9257,0.5170173
12052,0.9999511
8149,0.13132113
4773,0.996984
2302,0.33930162
10645,0.9999912
2464,0.99544567
10123,0.7586449
4015,0.046488404
6602,0.91079223
9531,0.9731628
7508,0.0016819835
1179,0.9785336
6616,0.008833975
9525,0.18677428
2470,0.86985123
10137,0.5041613
11229,0.997675
4001,0.39577672
10889,0.7137937
4767,0.95482105
3008,0.06744602
2316,0.6801818
10651,0.8878746
5479,0.9999859
6170,0.0011642575
9243,0.39168644
12046,0.84236723
11567,0.9907043
3020,0.1523869
4997,0.07513666
10679,0.07641265
5451,0.45173436
6158,0.1024988
1637,0.78855455
8175,0.6294805
7246,0.7107702
8613,0.9991691
7520,0.99877536
1151,0.99934834
5337,0.9997618
2458,0.41803485
11201,0.99266744
3746,0.0671311
4029,0.1869697
5323,0.6016532
11215,0.14925441
3752,0.94168806
8607,0.5233422
7534,0.9378871
1145,0.99656945
9519,0.427519
1623,0.12057853
8161,0.46347356
7252,0.9992168
11573,0.113238275
3034,0.00081789494
4983,0.07599676
5445,0.014572799
10686,0.17286721
4968,0.7301338
11598,0.97497904
12091,0.39029014
1810,0.92104447
9294,0.88118744
8834,0.55345774
6819,0.9942703
3961,0.86356294
3975,0.52526367
8820,0.034903586
12085,0.051543742
1804,0.013962001
9280,0.7415416
348,0.69225085
10692,0.9710972
7285,0.9798925
360,0.283591
4954,0.9680897
5492,0.19156024
10862,0.005621493
3785,0.6015425
406,0.9010814
1192,0.3309794
8808,0.13895765
6825,0.99643034
1186,0.99815124
412,0.89523304
6831,0.9998563
3791,0.14837363
3949,0.63961315
4940,0.93657726
5486,0.11839846
4798,0.21424359
10876,0.7481429
1838,0.9644533
7291,0.96533513
374,0.31899306
12126,0.4887644
6010,0.5546179
9323,0.7647203
5519,0.9998034
2276,0.9834858
10731,0.9359993
3168,0.013371944
4607,0.67742074
4161,0.8141856
11349,0.63998306
2510,0.63540876
10057,0.503161
6776,0.008419007
9445,0.9727129
1019,0.99649996
8983,0.9974761
7468,0.9999694
6762,0.01130563
9451,0.09394592
8997,0.65472394
599,0.03655249
4175,0.9913123
2504,0.5952526
10043,0.98365825
2262,0.1826975
10725,0.98322165
4613,0.055546284
8029,0.20745948
